state,domestic,foreign,total
Kuala Lumpur,9781082,12129440,21910522
Putrajaya,555827,221593,777420
Selangor,6131477,3349909,9481386
Pulau Pinang,5236584,3000488,8237072
Perak,4186503,970611,5157114
Kedah,3237364,1985063,5222427
Perlis,313443,8567,322010
Negeri Sembilan,2071056,459715,2530771
Melaka,3392342,1516524,4908866
Johor,7394268,3003542,10397810
Pahang,11550656,2931858,14482514
Terengganu,2412518,281579,2694097
Kelantan,1389452,102252,1491704
Sabah,4257096,3135973,7393069
Labuan,399785,51978,451763
Sarawak,5739958,1445113,7185071
